spread,sSum,sInvSumInv,sSumStd,sInvSumInvStd
0.5,0.64471174968330003,6.9127058691383721e-06,0.40076520666968052,2.8313440382975434e-06
1.0,0.98016454906982298,1.0282950781475209e-05,0.43310549345697325,8.191450464706174e-06
1.5,0.98710001308688644,2.8414985423910964e-05,0.23186464326055042,1.5037105971236216e-05
2.0,1.3758665329385371,4.0516335094883641e-05,0.3881341218223206,1.8766501462497086e-05
2.5,1.9260089340005753,3.6507091671721024e-05,0.54975861470417242,1.6583271093543254e-05
3.0,1.9946326459795345,4.2669619619671348e-05,0.79476674858498497,2.0576140709790178e-05
3.5,1.7064343858499054,5.2304888938210469e-05,0.47334505446549974,2.9814000171109417e-05
4.0,1.5308985490567895,5.2551644382224086e-05,0.42485281415735771,1.7687328791770735e-05
4.5,1.8334017533062614,6.4406841917295489e-05,0.51589739978926019,3.6989452656158583e-05
5.0,1.7132609855484346,8.1494503463199586e-05,0.49716421639898301,4.6155575288610106e-05
5.5,1.978557382676708,5.9482966863377972e-05,0.77526562646818875,2.9167613192958988e-05
6.0,1.625518061965425,5.1744496223641352e-05,0.46190302176671394,4.6475894343556845e-05
6.5,2.1733923076933714,9.0409406195993922e-05,0.75158672064988918,4.4136319246174702e-05
7.0,1.9668608360730757,5.0225963576102089e-05,0.48680366991020946,3.1334733804191153e-05
7.5,2.0230811070881418,8.503739735225004e-05,0.67514796445336855,4.5597222693996596e-05
8.0,2.2128485096030279,7.6883644747334693e-05,0.77378496428439092,4.1054201935608416e-05
8.5,2.4334641092546567,0.00010058781835542115,0.76336660692292702,8.4710890954853589e-05
9.0,2.5943386944851201,7.5879876661691072e-05,0.67949422889939937,4.7673917863725064e-05
